"542","2018-07-17 08:10:58","बेटे से प्रॉपर्टी वापस ले सकते हैं पैरंट्स: कोर्ट","मेट्रो","metro","hi"
"545","2018-07-17 08:15:14","टॉइलट में गिरा फोन निकालने में फंसा हाथ","मेट्रो","metro","hi"
"547","2018-07-17 08:41:47","एक महिला ने करवाया दूसरी का रेप, अरेस्ट","मेट्रो","metro","hi"
"551","2018-07-17 03:05:56","20 जुलाई से देश भर में चक्का जाम करेंगे ट्रांसपोर्टर","मेट्रो","metro","hi"
"554","2018-07-17 00:29:31","BJP बोली सत्येंद्र जैन को बर्खास्त करे AAP","मेट्रो","metro","hi"
"556","2018-07-17 03:27:25","सड़क पर मौत के गड्ढे यूं जिद्दी कि जाते नहीं","मेट्रो","metro","hi"
"562","2018-07-17 01:35:57","यूपी में फिल्म इंस्टियूट बनाएंगे बोनी कपूर","मेट्रो","metro","hi"
"567","2018-07-17 02:36:15","लकी ड्रॉ: मुंबई के हजारों परिवारों को मिलेगा घर","मेट्रो","metro","hi"
"570","2018-07-17 00:41:27","गड्ढा बना जानलेवा, बाइक सवार की मौत","मेट्रो","metro","hi"
"573","2018-07-17 05:57:07","गार्ड ने 3 दिन तक किया रेप, फिर हत्या","मेट्रो","metro","hi"
"583","2018-07-17 12:39:46","लोकपाल: केंद्र ने SC को बताया, 19 को होगी बैठक","भारत","india","hi"
"591","2018-07-17 08:31:34","गठबंधन पर कांग्रेस के आगे माया की '3' की शर्त","भारत","india","hi"
"595","2018-07-17 11:24:50","SC में जस्टिस जोसफ का विरोध नहीं करेगा केंद्र!","भारत","india","hi"
"599","2018-07-17 09:45:06","मेजर पर FIR: केंद्र बनाम J&K की जंग जारी","भारत","india","hi"
"604","2018-07-17 08:21:02","कोचिंग सेंटरों पर शिकंजा, बनेंगी गाइडलाइंस","भारत","india","hi"
"608","2018-07-17 08:22:12","मॉनसून सत्र: सरकार को घेरने का विपक्ष का प्लान","भारत","india","hi"
"611","2018-07-17 05:12:13","'नफरत की आग में UP आगे, गुजरात नंबर 2'","भारत","india","hi"
"615","2018-07-16 21:06:23","'क्या राहुल को ले जा करते सर्जिकल स्ट्राइक'","भारत","india","hi"
"618","2018-07-16 21:22:58","मॉनसून सत्र: लिंचिंग पर सरकार को घेरेगा विपक्ष","भारत","india","hi"
"622","2018-07-16 22:02:16","SP-BSP साथ, बदला PM का अंदाज: अखिलेश","भारत","india","hi"
"625","2018-07-16 19:38:35","SC ने पूछा, लोगों की जिंदगी जरूरी कि उद्योग?","भारत","india","hi"
"628","2018-07-16 21:42:51","3 तलाक: निदा के खिलाफ फतवा, हुक्का-पानी बंद","भारत","india","hi"
"631","2018-07-16 16:09:45","मिसाल: डीयू के टीचर्स ने भरी छात्रा की फीस","भारत","india","hi"
"635","2018-07-16 15:29:17","आसिया अंद्राबी को एक महीने की न्यायिक हिरासत","भारत","india","hi"
"647","2018-07-17 12:21:11","अपाचे में आया नया सिस्टम, बढ़ेगा इतना पावर","ऑटो","auto","hi"
"649","2018-07-16 08:54:38","देखें, भारत की पहली सुपरकार 'शूल', जानें खूबियां","ऑटो","auto","hi"
"652","2018-07-17 11:44:19","लग्जरी कारों की बिक्री में जोरदार इजाफा","ऑटो","auto","hi"
"655","2018-07-17 10:13:57","मेड इन इंडिया बाइक, 15 दिनों में स्टॉक खत्म!","ऑटो","auto","hi"
"658","2018-07-17 08:46:50","इंटरव्यू: 'सालभर में डिलिवर होंगी 10 हजार ई-कारें'","ऑटो","auto","hi"
"661","2018-07-17 08:12:42","JLR ने लॉन्च की F-टाइप स्पोर्ट्स कार, जानें कीमत","ऑटो","auto","hi"
"664","2018-07-16 14:16:07","यामाहा ने लॉन्च किया नया स्कूटर, कीमत 60 हजार से कम","ऑटो","auto","hi"
"667","2018-07-16 19:17:56","देखें, बर्थडे गर्ल कटरीना कैफ के पास है यह एसयूवी कार","ऑटो","auto","hi"
"671","2018-07-16 12:01:06","कंपनी को वापस मंगानी पड़ीं ये धाकड़ बाइक्स, जानें क्यों","ऑटो","auto","hi"
"676","2018-07-16 11:08:29","देखें, यामाहा ने दिखाई नए स्कूटर ‘Rally’ की झलक","ऑटो","auto","hi"
"678","2018-07-16 15:14:32","क्या शाहरुख हैं इस 'सबसे तेज' कार के मालिक? जानें जवाब","ऑटो","auto","hi"
"684","2018-07-15 15:19:21","...तो इस कार से टेस्ला मॉडल 3 को मिलेगी चुनौती?","ऑटो","auto","hi"
"689","2018-07-15 14:37:55","टाटा की इन कारों पर जुलाई में मिल सकती है बंपर छूट","ऑटो","auto","hi"
"692","2018-07-15 13:15:58","आ रहा है बजाज का 'छोटू' वाहन, कीमत भी कम","ऑटो","auto","hi"
"695","2018-07-15 12:00:59","भारत में सबसे ज्यादा पॉप्युलर हैं ये 7 सीटर कारें","ऑटो","auto","hi"
"709","2018-07-17 11:31:23","बॉलिवुड निर्माताओं ने सौंपी यौन शोषण रिपोर्ट","मनोरंजन","entertainment","hi"
"712","2018-07-17 11:52:15","करिश्मा ने की रणवीर संग अपनी तस्वीर डिलीट","मनोरंजन","entertainment","hi"
"715","2018-07-17 08:56:25","विशाल को वॉइस नोट में गाने भेजते हैं इरफान","मनोरंजन","entertainment","hi"
"718","2018-07-17 11:35:18","सारा की 'केदारनाथ' की रिलीज डेट फिर बदली?","मनोरंजन","entertainment","hi"
"721","2018-07-17 09:29:03","नहीं रहीं टीवी-फिल्मों में दिखने वाली प्यारी 'मां'","मनोरंजन","entertainment","hi"
"723","2018-07-17 10:00:56","फरदीन खान का फिर बदल गया है अंदाज़","मनोरंजन","entertainment","hi"
"725","2018-07-17 09:54:59","निक-प्रियंका की शादी पर बोलीं मां मधु चोपड़ा","मनोरंजन","entertainment","hi"
"727","2018-07-17 10:25:14","'ब्रह्मास्त्र' में नागार्जुन के साथ दिखेंगी डिंपल?","मनोरंजन","entertainment","hi"
"729","2018-07-17 09:32:24","'पॉलिटिकल फिल्मों में काम करने से न डरें ऐक्टर्स'","मनोरंजन","entertainment","hi"
"732","2018-07-16 22:15:13","शाहिद-श्रद्धा की फिल्म इस दिन होगी रिलीज","मनोरंजन","entertainment","hi"
"735","2018-07-16 23:13:24","विद्या बालन सीख रही हैं हारमोनियम बजाना","मनोरंजन","entertainment","hi"
"739","2018-07-16 21:05:04","कटरीना के बर्थडे पर शाहरुख ने दिया यह गिफ्ट","मनोरंजन","entertainment","hi"
"742","2018-07-16 19:22:28","रणवीर सिंह ने शेयर की अपनी हॉट तस्वीर","मनोरंजन","entertainment","hi"
"748","2018-07-16 23:34:32","जाह्नवी को श्रीदेवी इस तरह करती थीं लाड़","मनोरंजन","entertainment","hi"
"751","2018-07-16 17:06:19","कटरीना को आलिया ने ऐसे किया बर्थडे विश","मनोरंजन","entertainment","hi"
"755","2018-07-17 09:44:00","CBSE: लीकप्रूफ हुआ एग्जाम, 10 बड़ी बातें","एजुकेशन","education","hi"
"759","2018-07-17 08:21:02","कोचिंग सेंटरों पर शिकंजा, बनेंगी गाइडलाइंस","एजुकेशन","education","hi"
"762","2018-07-17 12:22:17","FIR: जानें अपने और पुलिस के अधिकार","एजुकेशन","education","hi"
"767","2018-07-17 08:53:31","देखें, SBI PO प्रीलिम्स 2018 का रिजल्ट जारी","एजुकेशन","education","hi"
"770","2018-07-16 20:46:11","PO प्रीलिम्स: रिजल्ट पर SBI की चेतावनी","एजुकेशन","education","hi"
"773","2018-07-16 17:39:00","HC के फैसले को चुनोती देगा सीबीएसई","एजुकेशन","education","hi"
"777","2018-07-16 14:34:22","GATE 2019: एग्जाम कब, जानें पूरी डीटेल्स","एजुकेशन","education","hi"
"781","2018-07-16 09:45:49","NEET में कम नंबर पर MBBS में दाखिला","एजुकेशन","education","hi"
"786","2018-07-16 13:53:04","8 सवालों का दें जवाब, देखें कितने तेज हैं आप","एजुकेशन","education","hi"
"791","2018-07-16 11:34:29","पहली बार: ग्रैजुएशन के साथ स्किल ट्रेनिंग भी","एजुकेशन","education","hi"
"796","2018-07-16 08:04:02","DU: लास्ट कटऑफ इस हफ्ते, जानें कहां चांस","एजुकेशन","education","hi"
"800","2018-07-16 08:14:02","DU: जानें कब आएगी PG की पहली लिस्ट","एजुकेशन","education","hi"
"801","2018-07-15 14:36:26","SBI PO Prelim result 2018: ऐसे करें चेक","एजुकेशन","education","hi"
"804","2018-07-14 20:14:00","UPSC सिविल सर्विसेज का रिजल्ट जारी","एजुकेशन","education","hi"
"807","2018-07-14 10:59:10","IIT दिल्लीः समय से पहले फुल हुईं सारी सीटें","एजुकेशन","education","hi"
"832","2018-07-17 12:46:02","बच्ची से रेप का आरोपी 'लाइफगार्ड' नहीं जानता तैरना!","राज्य","state","hi"
"847","2018-07-17 11:54:32","इंटीमेट विडियो वायरल, SP पर गिरी गाज","राज्य","state","hi"
"852","2018-07-17 08:00:00","छोटा हरिद्वार में: 'पैर पकड़कर खींचा, गहने लूटे'","राज्य","state","hi"
"856","2018-07-17 10:58:51","'डांसिंग अंकल' के बेहद करीबी को लगी गोली","राज्य","state","hi"
"864","2018-07-17 11:16:16","रेप:  प्रिंसिपल ने दिखाई IAS रिलेटिव की धौंस","राज्य","state","hi"
"866","2018-07-17 10:04:05","जब दूल्हे ने नकली नोटों का हार पहन लिए फेरे...","राज्य","state","hi"
"868","2018-07-17 10:16:14","आवारा कुत्ते से किया 'रेप', हो सकती उम्रकैद","राज्य","state","hi"
"870","2018-07-17 10:13:16","SHO बनाने के लिए इंस्पेक्टर से लिए 4 लाख","राज्य","state","hi"
"874","2018-07-17 09:22:15","कॉन्ट्रैक्टर के घर मिला ₹100 करोड़ कैश","राज्य","state","hi"
"878","2018-07-17 09:32:24","यहां गर्ल एजुकेशन के नाम पर महज ₹1","राज्य","state","hi"
"882","2018-07-17 08:33:59","कासगंज: विवाह के बाद दूल्हे को अब यह डर","राज्य","state","hi"
"910","2018-07-17 08:11:31","INDvsENG: तीसरा वनडे आज, देखें किसका पलड़ा भारी","खेल","sports","hi"
"912","2018-07-17 09:13:44","फीफा: विनर को 260 करोड़, बाकियों को इतना","खेल","sports","hi"
"916","2018-07-17 10:14:53","फैंस की देशभक्ति देख कोहली भावुक, दिया मेसेज","खेल","sports","hi"
"920","2018-07-17 11:35:39","ऑस्ट्रेलिया के लेजंड फुटबॉलर कैहिल ने लिया संन्यास","खेल","sports","hi"
"923","2018-07-17 09:19:08","देखें- पाक क्रिकेटर का ऐसा जश्न, गर्दन में झटका","खेल","sports","hi"
"928","2018-07-16 21:43:38","पूर्व हॉकी कप्‍तान शाहिद की पत्‍नी लौटाएंगी पद्मश्री","खेल","sports","hi"
"933","2018-07-17 08:04:03","फीफा वर्ल्ड कप-2018 के टॉप-5 गोल, देखें- तस्वीरें","खेल","sports","hi"
"937","2018-07-17 10:57:20","फीफा: स्वदेश लौटी क्रोएशियाई टीम, हुआ भव्य स्वागत","खेल","sports","hi"
"942","2018-07-17 10:32:59","बर्लिन में अपना सर्वश्रेष्ठ देना चाहते हैं किपचोगे","खेल","sports","hi"
"948","2018-07-16 23:01:01","देखें, फ्रांस टीम का यूं हुआ स्वागत, उमड़ा जनसैलाब","खेल","sports","hi"
"952","2018-07-16 22:00:00","वुड्स ने बताया- कैसे लगाएंगे कुलदीप पर लगाम","खेल","sports","hi"
"957","2018-07-16 16:39:49","ODI: इंग्लैंड के खिलाफ भारत की ये बड़ी चिंता","खेल","sports","hi"
"960","2018-07-16 17:42:42","ऑस्ट्रेलिया में फिर सुपरहिट होंगे विराट: ब्रेट ली","खेल","sports","hi"
"963","2018-07-16 13:03:56","क्रोएशिया टीम हारी, राष्ट्रपति ने पोंछे प्लेयर्स के आंसू","खेल","sports","hi"
"976","2018-07-17 09:57:00","US में रूस की महिला जासूसी के आरोप में अरेस्ट","दुनिया","world","hi"
"979","2018-07-17 11:09:32","जाधव: ICJ में पाक का 400 पन्नों का जवाब","दुनिया","world","hi"
"983","2018-07-16 19:23:46","शरीफ ने अदालत के फैसले को चुनौती दी","दुनिया","world","hi"
"986","2018-07-16 18:25:29","ट्रंप, पुतिन ने किया 'असाधारण संबंध' का वादा","दुनिया","world","hi"
"990","2018-07-16 17:26:23","थाइलैंड: मृत नेवी सील को बच्चों ने किया याद","दुनिया","world","hi"
"994","2018-07-16 16:55:57","तो इसलिए रूसी मीडिया से खुश हैं ट्रंप!","दुनिया","world","hi"
"999","2018-07-16 09:37:49","रेहम ने बताया, निर्भया पर यह बोले थे इमरान","दुनिया","world","hi"
"1003","2018-07-16 09:19:11","जानें, ट्रंप-पुतिन बैठक पर क्यों टिकी हैं नजरें","दुनिया","world","hi"
"1006","2018-07-16 10:38:14","जानिए, ट्रंप और पुतिन किसको लगाते हैं फोन","दुनिया","world","hi"
"1010","2018-07-16 13:42:18","'रूस संग खराब रिश्तों का जिम्मेदार FBI'","दुनिया","world","hi"
"1014","2018-07-16 11:59:56","पॉपस्टार को गले लगाने पर महिला अरेस्ट","दुनिया","world","hi"
"1016","2018-07-16 11:24:29","ट्रंप ने यूरोपीय संघ को बताया US का दुश्मन","दुनिया","world","hi"
"1020","2018-07-15 17:36:08","ट्रंप ने तोड़ा प्रोटोकॉल, क्वीन को दिखाई पीठ","दुनिया","world","hi"
"1023","2018-07-15 18:40:03","UK: 15 अगस्त को नैशनल डे मनाने की मांग","दुनिया","world","hi"
"1026","2018-07-15 21:54:30","पुतिन संग बैठक से पहले ट्रंप ने यह कहा","दुनिया","world","hi"
"1044","2018-07-17 12:28:00","पुतिन काे बेकसूर बताना ट्रम्प कार्यकाल का सबसे शर्मनाक क्षण, यह देशद्रोह से कम नहीं: अमेरिकी मीडिया","दुनिया","world","hi"
"1047","2018-07-17 10:08:00","400 किमी/घंटे की रफ्तार से उड़ने वाली टैक्सी बना रहा रोल्स रॉयस, एक बार में 5 यात्री बैठ सकेंगे","दुनिया","world","hi"
"1050","2018-07-17 10:08:00","खाना बर्बाद होने से बचाने के लिए ब्रिटेन में 2 दोस्त चलाते हैं स्टोर चेन; खरीदारों की लग जाती है लाइन","दुनिया","world","hi"
"1053","2018-07-17 08:58:00","इंडोनेशिया में इंसान की मौत का बदला लेने के लिए लोगों ने उठाए हथौड़े-चाकू, 292 मगरमच्छों को मार डाला","दुनिया","world","hi"
"1056","2018-07-16 22:43:00","साझा बयान के दौरान पुतिन ने ट्रम्प को दी वर्ल्डकप की फुटबॉल, कहा- गेंद अब आपके पाले में","दुनिया","world","hi"
"1062","2018-07-16 21:07:00","अवैध भारतीय अप्रवासियों के साथ अमेरिका की ओरेगन जेल में अपराधियों जैसा व्यवहार, सिखों की पगड़ी उतरवाई","दुनिया","world","hi"
"1068","2018-07-16 19:08:00","अवेनफील्ड मामले में दोषी पाए गए शरीफ के परिवार ने जवाबदेही कोर्ट के फैसले के खिलाफ हाईकोर्ट में दायर की याचिकाएं","दुनिया","world","hi"
"1073","2018-07-16 18:20:00","अमेरिकाः कंसास में भारतीय छात्र की हत्या करने वाला शख्स एनकाउंटर में मारा गया","दुनिया","world","hi"
"1082","2018-07-16 16:59:00","इजरायली खुफिया एजेंसी मोसाद ने साढ़े छह घंटे में चुराईं ईरान के एटमी प्रोग्राम की 5 क्विंटल फाइलें","दुनिया","world","hi"
"1091","2018-07-16 12:49:00","अमेरिका: 200 फीट खाई में गिरी महिला 7 दिन बाद बचाई गई, रेडिएटर का पानी पीकर जिंदा रही","दुनिया","world","hi"
"1102","2018-07-16 11:16:00","फीफा फाइनल: बारिश के बीच पुतिन ने छाता लगाया, फ्रांस और क्रोएशिया के राष्ट्रपति भीगते रहे","दुनिया","world","hi"
"1112","2018-07-15 11:05:00","जर्मनी: विमान में ऑक्सीजन की कमी से यात्रियों के कानों से निकला खून, इमरजेंसी लैंडिंग करानी पड़ी","दुनिया","world","hi"
"1120","2018-07-15 09:22:00","ग्रीनलैंड के 169 लोगों के गांव के पास आइसबर्ग पहुंचा, डर के चलते 33 लोग गांव छोड़कर चले गए","दुनिया","world","hi"
"1130","2018-07-15 09:12:00","फीफा फाइनल: 4000 किमी गाड़ी चलाकर रूस पहुंचे 4 फैन्स, 5.5 लाख का टिकट देखकर कहा- इतने में तो कार आ जाएगी","दुनिया","world","hi"
"1138","2018-07-14 19:04:00","3 साल में 90 करोड़ डॉलर कमाने वाली काइली को सबसे कम उम्र की अरबपति बनाना चाहते हैं फैन्स, शुरू किया डोनेशन कैम्पेन","दुनिया","world","hi"
"1147","2018-07-14 15:02:00","पाकिस्तान में कर्मचारियों की कमी, पहली बार बैंककर्मियों को चुनाव ड्यूटी में लगाया जाएगा","दुनिया","world","hi"
"1156","2018-07-14 13:22:00","राष्ट्रपति ने नृत्यांगना सोनल मानसिंह, राकेश सिन्हा समेत चार हस्तियों को राज्यसभा में मनोनीत किया","दुनिया","world","hi"
"1167","2018-07-14 13:05:00","नवाज और मरियम को पहली रात जेल में बी क्लास सुविधाएं दी गईं, दूसरे कैदियों को पढ़ाने का काम मिल सकता है","दुनिया","world","hi"
"1174","2018-07-14 11:48:00","फेसबुक की विविधता रिपोर्ट: स्टाफ में 36% महिलाएं, 41% कर्मी एशियाई मूल के","दुनिया","world","hi"
"1179","2018-07-14 11:29:00","विम्बलडन के मैदान की रूफस नाम का बाज 10 साल से कर रहा निगरानी, उसके पास कबूतरों को भगाने की जिम्मेदारी","दुनिया","world","hi"
"2099","2018-07-17 01:12:48","अडियाला जेल में शरीफ को बेहद खराब हालत में रखा गया है : शहबाज","दुनिया","world","hi"
"2106","2018-07-16 23:46:12","फिनलैंड समिटः रूस ने अमेरिकी चुनाव प्रक्रिया में हस्तक्षेप नहीं किया- पुतिन","दुनिया","world","hi"
"2112","2018-07-16 21:33:24","H-1B वीजा : अमेरिका में रह रहे भारतीयों की बढ़ सकती है मुसीबत, ट्रंप ने दिया ये आदेश","दुनिया","world","hi"
"2117","2018-07-16 18:20:24","UPSC IAS Interview में पूछा- क्या डोनाल्ड ट्रंप पर महाभियोग चलना चाहिए, जानिए जवाब","दुनिया","world","hi"
"2124","2018-07-16 17:49:16","ट्रंप से मिलकर पुतिन बोले- हमारे रिश्ते मजबूत करने का वक्त आ गया","दुनिया","world","hi"
"2130","2018-07-16 18:32:36","बनानी है सेहत तो ट्रेडमिल छोड़ पेड़ों पर चढि़ए जनाब","दुनिया","world","hi"
"2136","2018-07-16 18:20:51","दिल की सेहत अच्छी रखने के लिए खाएं रसभरी","दुनिया","world","hi"
"2141","2018-07-16 18:13:16","तकनीक: रोबोट जंग के मैदान में जवानों के सहयोगी बनेंगे","दुनिया","world","hi"
"2148","2018-07-16 18:06:52","आईना बताएगा कितनी खूबसूरत हैं आप","दुनिया","world","hi"
"2152","2018-07-16 17:41:37","US में भारतीय सिख आव्रजकों पर जुल्म : जंजीरों से बांधा, छीनी पगड़ी, रखा भूखा","दुनिया","world","hi"
"2154","2018-07-16 16:28:04","आक्रोश: एक मौत का बदला लेने के लिए भीड़ ने मार डाले 300 मगरमच्छ","दुनिया","world","hi"
"2159","2018-07-16 16:28:57","VIDEO: अरब में कॉन्सर्ट के दौरान महिला ने सिंगर को लगाया गले, मिली ये सजा","दुनिया","world","hi"
"2163","2018-07-16 13:17:59","राष्ट्रपति ट्रंप-पुतिन  मुलाकात आज, पश्चिमी देशों को रूस का बड़ा संदेश","दुनिया","world","hi"
"2165","2018-07-16 12:05:46","इस स्कूल की लड़कियां पहन सकेंगी शॉर्ट्स और पैंट्स, अपडेट हुआ ड्रेस कोड","दुनिया","world","hi"
"2167","2018-07-16 11:14:14","पाकिस्तान: चुनाव से 10 दिन पहले नवाज शरीफ की पार्टी के खिलाफ आतंकवाद निरोधी जांच शुरू","दुनिया","world","hi"
"2169","2018-07-16 09:56:20","पुतिन से मुलाकात के लिए ट्रंप हेलसिंकी पहुंचे, US को बैठक से खास उम्मीदें नहीं","दुनिया","world","hi"
"2171","2018-07-15 21:45:42","पाकिस्तानः नवाज शरीफ का परिवार आज जा सकता है कोर्ट, जेल में बंद हैं पूर्व पीएम और बेटी मरियम शरीफ","दुनिया","world","hi"
"2174","2018-07-16 01:30:56","पायलट ने किया धूम्रपान, विमान 10 मिनट में 25 हजार फीट नीचे आया","दुनिया","world","hi"
"2222","2018-07-17 11:58:38","टॉप 10 न्यूज: पढ़ें देश-दुनिया की बड़ी खबरें एक नजर में","भारत","india","hi"
"2251","2018-07-17 09:53:46","भुगतान विवाद पर सरकार ने दिल्ली एयरपोर्ट की सुरक्षा वापस लेने की दी धमकी","भारत","india","hi"
"2257","2018-07-17 09:09:28","खुलासा: दिल्ली में धोखे से बेची जा रहीं आदिवासी किशोरियां, झारखंड से लापता हैं 3300 लड़कियां","भारत","india","hi"
"2263","2018-07-17 09:52:37","सुप्रीम कोर्ट:चीफ जस्टिस वाली संविधान पीठ करेगी आज धारा 377 पर सुनवाई","भारत","india","hi"
"2269","2018-07-17 09:39:40","इशरत जहां मुठभेड़: वंजारा को आरोपमुक्त करने वाली याचिका पर फैसला आज","भारत","india","hi"
"2275","2018-07-17 09:07:54","मानसून सत्र: सरकार के टॉप एजेंडा में हैं तीन तलाक और ओबीसी आयोग","भारत","india","hi"
"2278","2018-07-17 08:53:41","टॉप 10 न्यूज: पढ़ें सुबह 9 बजे तक देश-दुनिया की बड़ी खबरें एक नजर में","भारत","india","hi"
"2281","2018-07-17 08:48:22","मानसून सत्र:  हम सभी चाहते है कि संसद की कार्यवाही चले- विपक्ष","भारत","india","hi"
"2284","2018-07-16 11:35:44","SBI PO prelims Result 2018:इंतजार खत्म, देखें अपना रिजल्ट, sbi.co.in/careers और bank.sbi.careers पर","भारत","india","hi"
"2287","2018-07-17 08:40:00","सुप्रीम कोर्ट का आदेश: रिटायर्ड होने पर भी भ्रष्टाचार के मुकदमे से नहीं बच सकते","भारत","india","hi"
"2293","2018-07-17 08:29:13","मौसम अलर्ट: उत्तर भारत में सूखा दक्षिण और पूर्व में झमाझम, सबसे कम बारिश उत्तर प्रदेश में","भारत","india","hi"
"2299","2018-07-17 06:21:14","यूपी और दिल्ली में बंद राठी के गुर्गों का जेल से ही फेसबुक एकाउंट हो रहा अपडेट","भारत","india","hi"
"2318","2018-07-17 13:06:35","62 साल की रीता भादुड़ी का हुआ अंतिम संस्कार, दी नम आंखों से विदाई","मना॓रंजन","entertainment","hi"
"2352","2018-07-17 11:22:33","POLL: हिना खान या मधुरिमा तुली, आप 'कमोलिका' के रोल में किसे देखना चाहते हैं","मना॓रंजन","entertainment","hi"
"2373","2018-07-17 10:30:53","काला हिरण शिकार मामले में सलमान खान की अपील पर आज सुनवाई","मना॓रंजन","entertainment","hi"
"2381","2018-07-17 10:25:55","बॉलीवुड मसाला: पढ़ें बॉलीवुड से जुड़ी ये टॉप 10 खबरें-VIDEO","मना॓रंजन","entertainment","hi"
"2388","2018-07-17 09:47:50","जूही परमार से तलाक के बाद एक्स पति सचिन ने तोड़ी चुप्पी, कहा- कभी प्यार किया ही नहीं","मना॓रंजन","entertainment","hi"
"2394","2018-07-16 09:00:10","सालों बाद शाहरुख ने किया खुलासा, गौरी से जल्दी शादी करने की बताई वजह","मना॓रंजन","entertainment","hi"
"2397","2018-07-17 09:05:10","डॉ. हाथी के बाद टीवी की मशहूर अदाकारा रीता भादुड़ी का निधन","मना॓रंजन","entertainment","hi"
"2400","2018-07-17 08:25:37","23 साल के जुड़वां बच्चों की मां ने रेड बिकिनी में ढाया कहर, वैम्प के रोल से हुईं फेमस","मना॓रंजन","entertainment","hi"
"2406","2018-07-17 07:37:59","Zero: बर्थडे पर इस हाल में नजर आईं कैटरीना, शाहरुख ने शेयर की PHOTO","मना॓रंजन","entertainment","hi"
"2410","2018-07-16 08:09:31","B'DAY SPL: इस किस सीन के लिए कैटरीना ने दो घंटे बंद कमरे में की थी प्रैक्टिस, आज भी है पछतावा","मना॓रंजन","entertainment","hi"
"2415","2018-07-16 20:56:51","सामने आई कैटरीना के बर्थडे की Inside Photos, हरे-भरे मैदान में काटा केक","मना॓रंजन","entertainment","hi"
"2422","2018-07-16 18:28:36","जिस साले की शादी में डांस कर फेमस हुए डब्बू अंकल, उसे बदमाशों ने मारी गोली","मना॓रंजन","entertainment","hi"
"2430","2018-07-16 20:27:33","जॉन अब्राहम की फिल्म के मुहर्रम सीन पर विवाद, शाहरुख खान के साथ भी हुआ था ऐसा","मना॓रंजन","entertainment","hi"
"2455","2018-07-17 12:50:00","भोपाल, इंदौर और उज्जैन में 24 घंटे तक भारी बारिश की चेतावनी, गुजरात के 7 जिलों में नदी-नाले उफान पर","प्रमुख समाचार","latest","hi"
"2463","2018-07-17 12:46:00","भारत-इंग्लैंड तीसरा वनडे आज शाम 5 बजे से, लगातार 10वीं सीरीज जीतने पर टीम इंडिया की नजर","प्रमुख समाचार","latest","hi"
"2471","2018-07-17 12:29:00","सुप्रीम कोर्ट ने कहा- भीड़तंत्र को नए कानून के रूप में मान्यता नहीं दे सकते, इसे फौलादी हाथों से खत्म कर देंगे","प्रमुख समाचार","latest","hi"
"2479","2018-07-17 12:28:00","पुतिन काे बेकसूर बताना ट्रम्प कार्यकाल का सबसे शर्मनाक क्षण, यह देशद्रोह से कम नहीं: अमेरिकी मीडिया","प्रमुख समाचार","latest","hi"
"2485","2018-07-17 12:06:00","मनोहर पर्रिकर ने कहा- क्या मैं सेना से कहता कि सर्जिकल स्‍ट्राइक के लिए राहुल गांधी को साथ ले जाएं","प्रमुख समाचार","latest","hi"
"2491","2018-07-17 11:14:00","सऊदी अरब की नई नीतियों और दोगुने फैमिली टैक्स की वजह से भारतीय देश लौटने को मजबूर","प्रमुख समाचार","latest","hi"
"2500","2018-07-17 10:08:00","400 किमी/घंटे की रफ्तार से उड़ने वाली टैक्सी बना रहा रोल्स रॉयस, एक बार में 5 यात्री बैठ सकेंगे","प्रमुख समाचार","latest","hi"
"2508","2018-07-17 10:08:00","खाना बर्बाद होने से बचाने के लिए ब्रिटेन में 2 दोस्त चलाते हैं स्टोर चेन; खरीदारों की लग जाती है लाइन","प्रमुख समाचार","latest","hi"
"2517","2018-07-17 09:58:00","अभिनेत्री रीता भादुड़ी का निधन, 70 फिल्मों और 20 से ज्यादा धारावाहिकों में किया था काम","प्रमुख समाचार","latest","hi"
"2524","2018-07-17 09:46:00","28 साल पहले आतंकी बनने के लिए पाकिस्तान गया शख्स गायक बना, उसका कश्मीरी गाना हो रहा है हिट","प्रमुख समाचार","latest","hi"
"2533","2018-07-17 08:58:00","इंडोनेशिया में इंसान की मौत का बदला लेने के लिए लोगों ने उठाए हथौड़े-चाकू, 292 मगरमच्छों को मार डाला","प्रमुख समाचार","latest","hi"
"2536","2018-07-17 08:08:00","महाभारत 2019: नोटा को 5 साल में 1.33 करोड़ वोट, अरुणाचल की 11 सीटों पर एक भी नहीं","प्रमुख समाचार","latest","hi"
"2540","2018-07-16 22:40:00","मिदनापुर रैली में पंडाल गिरने से 67 जख्मी, मोदी ने भाषण रोककर एसपीजी जवानों को मदद के लिए भेजा","प्रमुख समाचार","latest","hi"
"2543","2018-07-16 22:37:00","पत्नी की मौत के बाद हफ्तेभर लाश के सामने बैठा रहा लकवाग्रस्त पति; रिश्तेदार घर आया, तब हुआ अंतिम संस्कार","प्रमुख समाचार","latest","hi"
"2551","2018-07-16 21:07:00","अवैध भारतीय अप्रवासियों के साथ अमेरिका की ओरेगन जेल में अपराधियों जैसा व्यवहार, सिखों की पगड़ी उतरवाई","प्रमुख समाचार","latest","hi"
"2557","2018-07-16 20:30:00","​डेटा की गोपनीयता का अधिकार ग्राहकों को मिलना चाहिए, कंपनियां इसकी मालिक नहीं: ट्राई","प्रमुख समाचार","latest","hi"
