"55","2018-07-16 13:38:00","35वें बर्थ डे पर बोलीं कटरीना कैफ, 'प्यार जब होना होगा तभी होगा,अभी खुद के बारे में सोच रही हूं'","मनोरंजन","entertainment","hi"
"58","2018-07-16 20:30:00","​डेटा की गोपनीयता का अधिकार ग्राहकों को मिलना चाहिए, कंपनियां इसकी मालिक नहीं: ट्राई","भारत","india","hi"
"59","2018-07-16 15:30:00","फीफा फाइनल: पोग्बा ने साथी खिलाड़ियों से कहा था- सपना पूरा होने से 90 मिनट दूर, जो हमें इतिहास में अमर कर देगा","खेल","sports","hi"
"61","2018-07-16 13:37:00","शाहिद कपूर की वाइफ मीरा राजपूत का बेबी शॉवर, ईशान खट्टर के साथ पहुंची जाह्नवी कपूर","मनोरंजन","entertainment","hi"
"63","2018-07-16 18:39:00","इफको ने शुरू किया आई-मंडी ऐप, पांच करोड़ किसान घर बैठे खरीद सकेंगे खाद-बीज","भारत","india","hi"
"65","2018-07-16 13:06:00","फ्रांस 20 साल बाद फिर चैम्पियन: फाइनल में क्रोएशिया को 4-2 से हराया, हर मैच में पहला गोल कर विपक्षी पर दबाव बनाया","खेल","sports","hi"
"67","2018-07-16 13:12:00","Birthday Spl: 16 साल पुराने इस टीवी एड से कटरीना कैफ ने किया था डेब्यू, फनी वीडियो में दिखा था ग्लैमर","मनोरंजन","entertainment","hi"
"69","2018-07-16 17:09:00","शताब्दी एक्सप्रेस समेत 15 अन्य ट्रेनों में 25 जुलाई से मिलेगा सीजनल वेज, ग्रीन-टी का टेस्ट भी ले सकेंगे आप","भारत","india","hi"
"71","2018-07-16 12:28:00","एशियन गेम्स में उतरेगा भारत का 825 सदस्यों का दल, राजधानी दिल्ली से हुआ मशाल रैली का आगाज","खेल","sports","hi"
"74","2018-07-16 12:37:00","पीरियड फिल्म में नागा साधु के किरदार में नजर आएंगे सैफ अली खान","मनोरंजन","entertainment","hi"
"76","2018-07-16 17:07:00","तिरुअनंतपुरम में शशि थरूर के दफ्तर पर हमला, भाजपा कार्यकर्ताओं पर कालिख फेंकने का आरोप","भारत","india","hi"
"78","2018-07-15 22:24:00","फ्रांस 20 साल बाद फिर चैम्पियन, क्रोएशिया को 4-2 से हराया; लगातार 7वें मैच में पहला गोल दागकर विपक्षी टीम पर दबाव बनाया","खेल","sports","hi"
"80","2018-07-16 12:33:00","'ठग्स ऑफ हिंदोस्तान' की शूटिंग में लगे 200 करोड़, सबसे ज्यादा खर्च हुआ एक्शन सीन्स पर","मनोरंजन","entertainment","hi"
"82","2018-07-16 16:45:00","LPU: आईआईटी से कम नहीं है यह संस्थान, यहां मिलेगी फ्यूचर की गारंटी","भारत","india","hi"
"84","2018-07-15 16:04:00","थाईलैंड ओपन के फाइनल में पीवी सिंधु हारीं, जापान की ओकुहारा ने 21-15, 21-18 से जीता मुकाबला","खेल","sports","hi"
